host,_time,Speed
D01A2227V,2024-09-13T12:17:50.000+00:00,0
D01A2227V,2024-09-13T12:18:00.000+00:00,0.27
D01A2227V,2024-09-13T12:18:10.000+00:00,0.84
D01A2227V,2024-09-13T12:18:20.000+00:00,2.05
D01A2227V,2024-09-13T12:18:30.000+00:00,0
D01A2227V,2024-09-13T12:18:40.000+00:00,0.19
D01A2227V,2024-09-13T12:18:50.000+00:00,0.22
D01A2227V,2024-09-13T12:19:00.000+00:00,2.07
D01A2227V,2024-09-13T12:19:10.000+00:00,0.37
D01A2227V,2024-09-13T12:19:20.000+00:00,0
D01A2227V,2024-09-13T12:19:30.000+00:00,0.34
D01A2227V,2024-09-13T12:19:40.000+00:00,1.73
D01A2227V,2024-09-13T12:19:50.000+00:00,0.23
D01A2227V,2024-09-13T12:20:00.000+00:00,1.02
D01A2227V,2024-09-13T12:20:10.000+00:00,0.28
D01A2227V,2024-09-13T12:20:20.000+00:00,2.22
D01A2227V,2024-09-13T12:20:30.000+00:00,0.32
D01A2227V,2024-09-13T12:20:40.000+00:00,0.22
D01A2227V,2024-09-13T12:20:50.000+00:00,0.36
D01A2227V,2024-09-13T12:21:00.000+00:00,0.44
D01A2227V,2024-09-13T12:21:10.000+00:00,0.3
D01A2227V,2024-09-13T12:21:20.000+00:00,0
D01A2227V,2024-09-13T12:21:30.000+00:00,2.02
D01A2227V,2024-09-13T12:21:40.000+00:00,0.41
D01A2227V,2024-09-13T12:21:50.000+00:00,0.45
D01A2227V,2024-09-13T12:22:00.000+00:00,0
D01A2227V,2024-09-13T12:22:10.000+00:00,0
D01A2227V,2024-09-13T12:22:20.000+00:00,1.2
D01A2227V,2024-09-13T12:22:30.000+00:00,0
D01A2227V,2024-09-13T12:22:40.000+00:00,0
D01A2227V,2024-09-13T12:22:50.000+00:00,0.29
D01A2227V,2024-09-13T12:23:00.000+00:00,3.45
D01A2227V,2024-09-13T12:23:10.000+00:00,0
D01A2227V,2024-09-13T12:23:20.000+00:00,0
D01A2227V,2024-09-13T12:23:30.000+00:00,0
D01A2227V,2024-09-13T12:23:40.000+00:00,0
D01A2227V,2024-09-13T12:23:50.000+00:00,1.26
D01A2227V,2024-09-13T12:24:00.000+00:00,1.03
D01A2227V,2024-09-13T12:24:10.000+00:00,0.29
D01A2227V,2024-09-13T12:24:20.000+00:00,0.43
D01A2227V,2024-09-13T12:24:30.000+00:00,1.63
D01A2227V,2024-09-13T12:24:40.000+00:00,0.24
D01A2227V,2024-09-13T12:24:50.000+00:00,0.67
D01A2227V,2024-09-13T12:25:00.000+00:00,0.36
D01A2227V,2024-09-13T12:25:10.000+00:00,0.17
D01A2227V,2024-09-13T12:25:20.000+00:00,0.26
D01A2227V,2024-09-13T12:25:30.000+00:00,0
D01A2227V,2024-09-13T12:25:40.000+00:00,0.58
D01A2227V,2024-09-13T12:25:50.000+00:00,0.53
D01A2227V,2024-09-13T12:26:00.000+00:00,1.1
D01A2227V,2024-09-13T12:26:10.000+00:00,1.53
D01A2227V,2024-09-13T12:26:20.000+00:00,0.15
D01A2227V,2024-09-13T12:26:30.000+00:00,0.96
D01A2227V,2024-09-13T12:26:40.000+00:00,0.47
D01A2227V,2024-09-13T12:26:50.000+00:00,2.48
D01A2227V,2024-09-13T12:42:50.000+00:00,0.44
D01A2227V,2024-09-13T12:43:00.000+00:00,0.4
D01A2227V,2024-09-13T13:15:00.000+00:00,0.63
D01A2227V,2024-09-13T13:31:10.000+00:00,9.45
D01A2227V,2024-09-13T13:46:30.000+00:00,0
D01A2227V,2024-09-13T13:46:40.000+00:00,0.46
D01A2227V,2024-09-13T13:46:50.000+00:00,0.59
D01A2227V,2024-09-13T13:47:10.000+00:00,0
D01A2227V,2024-09-13T14:35:10.000+00:00,0
D01A2227V,2024-09-13T14:35:20.000+00:00,0
D01A2227V,2024-09-13T14:35:30.000+00:00,0
D01A2227V,2024-09-13T15:09:10.000+00:00,0.26
D01A2227V,2024-09-13T15:39:50.000+00:00,0.15
D01A2227V,2024-09-13T16:13:00.000+00:00,0
D01A2227V,2024-09-13T16:44:40.000+00:00,0
D01A2227V,2024-09-13T18:04:10.000+00:00,0
D01A2227V,2024-09-13T18:52:20.000+00:00,2.43
D01A2227V,2024-09-13T21:00:40.000+00:00,5.71
D01A2227V,2024-09-13T21:16:40.000+00:00,0.81
D01A2227V,2024-09-13T21:16:50.000+00:00,13.09
D01A2227V,2024-09-13T21:24:30.000+00:00,3.41
D01A2227V,2024-09-13T21:24:40.000+00:00,0.24
D01A2227V,2024-09-13T21:24:50.000+00:00,0.93
D01A2227V,2024-09-13T21:25:00.000+00:00,0
D01A2227V,2024-09-13T21:25:10.000+00:00,0
D01A2227V,2024-09-13T21:25:20.000+00:00,0.16
D01A2227V,2024-09-13T21:25:30.000+00:00,1.32
D01A2227V,2024-09-13T21:28:40.000+00:00,0
D01A2227V,2024-09-13T21:28:50.000+00:00,0
D01A2227V,2024-09-13T21:29:00.000+00:00,0
D01A2227V,2024-09-13T21:29:10.000+00:00,0
D01A2227V,2024-09-13T21:29:20.000+00:00,0
D01A2227V,2024-09-13T21:29:30.000+00:00,0
D01A2227V,2024-09-13T21:29:40.000+00:00,0
D01A2227V,2024-09-13T21:30:00.000+00:00,0
D01A2227V,2024-09-13T21:30:10.000+00:00,0
D01A2227V,2024-09-13T21:30:20.000+00:00,0
D01A2227V,2024-09-13T21:30:30.000+00:00,0
D01A2227V,2024-09-13T21:30:40.000+00:00,0
D01A2227V,2024-09-13T21:30:50.000+00:00,0
D01A2227V,2024-09-13T21:31:00.000+00:00,0
D01A2227V,2024-09-13T21:31:10.000+00:00,0
D01A2227V,2024-09-13T21:31:20.000+00:00,0
D01A2227V,2024-09-13T21:31:30.000+00:00,0
D01A2227V,2024-09-13T21:31:40.000+00:00,0
D01A2227V,2024-09-13T21:31:50.000+00:00,0
D01A2227V,2024-09-13T21:32:00.000+00:00,0
D01A2227V,2024-09-13T21:32:10.000+00:00,0
D01A2227V,2024-09-13T21:32:20.000+00:00,0
D01A2227V,2024-09-13T21:32:40.000+00:00,0
D01A2227V,2024-09-13T21:32:50.000+00:00,0
D01A2227V,2024-09-13T21:33:00.000+00:00,0
D01A2227V,2024-09-13T21:33:10.000+00:00,0
D01A2227V,2024-09-13T21:33:20.000+00:00,0
D01A2227V,2024-09-13T21:33:30.000+00:00,0.84
D01A2227V,2024-09-13T21:33:40.000+00:00,0
D01A2227V,2024-09-13T21:34:00.000+00:00,0
D01A2227V,2024-09-13T21:34:20.000+00:00,0
D01A2227V,2024-09-13T21:34:30.000+00:00,0
D01A2227V,2024-09-13T21:47:00.000+00:00,1.5
D01A2227V,2024-09-13T21:47:10.000+00:00,0
D01A2227V,2024-09-13T21:47:20.000+00:00,0
D01A2227V,2024-09-13T21:47:30.000+00:00,0
D01A2227V,2024-09-13T21:47:40.000+00:00,0
D01A2227V,2024-09-13T21:47:50.000+00:00,1.04
D01A2227V,2024-09-13T21:48:00.000+00:00,1.04
D01A2227V,2024-09-13T21:48:10.000+00:00,0
D01A2227V,2024-09-13T21:48:20.000+00:00,0
D01A2227V,2024-09-13T21:48:30.000+00:00,0.79
D01A2227V,2024-09-13T21:48:40.000+00:00,0
D01A2227V,2024-09-13T21:48:50.000+00:00,0
D01A2227V,2024-09-13T21:49:00.000+00:00,0
D01A2227V,2024-09-13T21:49:10.000+00:00,0
D01A2227V,2024-09-13T21:49:20.000+00:00,0
D01A2227V,2024-09-13T21:49:30.000+00:00,0
D01A2227V,2024-09-13T21:49:40.000+00:00,0
D01A2227V,2024-09-13T21:49:50.000+00:00,0
D01A2227V,2024-09-13T21:50:00.000+00:00,0
D01A2227V,2024-09-13T21:50:10.000+00:00,0
D01A2227V,2024-09-13T21:50:20.000+00:00,0
D01A2227V,2024-09-13T21:50:30.000+00:00,0
D01A2227V,2024-09-13T21:50:40.000+00:00,0
D01A2227V,2024-09-13T21:50:50.000+00:00,0
D01A2227V,2024-09-13T21:51:00.000+00:00,0
D01A2227V,2024-09-13T21:51:10.000+00:00,0
D01A2227V,2024-09-13T21:51:20.000+00:00,0
D01A2227V,2024-09-13T21:51:30.000+00:00,0.46
D01A2227V,2024-09-13T21:51:40.000+00:00,0
D01A2227V,2024-09-13T21:51:50.000+00:00,0
D01A2227V,2024-09-13T21:52:00.000+00:00,0
D01A2227V,2024-09-13T21:52:10.000+00:00,0.74
D01A2227V,2024-09-13T21:52:20.000+00:00,0
D01A2227V,2024-09-13T21:52:30.000+00:00,0
D01A2227V,2024-09-13T21:52:40.000+00:00,0
D01A2227V,2024-09-13T21:52:50.000+00:00,0
D01A2227V,2024-09-13T21:53:00.000+00:00,0
D01A2227V,2024-09-13T21:53:10.000+00:00,0
D01A2227V,2024-09-13T21:53:20.000+00:00,0
D01A2227V,2024-09-13T21:53:30.000+00:00,0
D01A2227V,2024-09-13T21:53:40.000+00:00,0
D01A2227V,2024-09-13T21:53:50.000+00:00,0
D01A2227V,2024-09-13T21:54:00.000+00:00,0
D01A2227V,2024-09-13T21:54:10.000+00:00,0.99
D01A2227V,2024-09-13T21:54:20.000+00:00,0
D01A2227V,2024-09-13T21:54:30.000+00:00,0.33
D01A2227V,2024-09-13T21:54:40.000+00:00,0
D01A2227V,2024-09-13T21:54:50.000+00:00,0
D01A2227V,2024-09-13T21:55:00.000+00:00,0
D01A2227V,2024-09-13T21:55:10.000+00:00,0
D01A2227V,2024-09-13T21:55:20.000+00:00,0
D01A2227V,2024-09-13T21:55:30.000+00:00,1.22
D01A2227V,2024-09-13T21:55:40.000+00:00,0
D01A2227V,2024-09-13T21:55:50.000+00:00,3.83
D01A2227V,2024-09-13T22:12:00.000+00:00,0
D01A2227V,2024-09-13T22:28:10.000+00:00,0
D01A2227V,2024-09-13T22:44:10.000+00:00,0
D01A2227V,2024-09-13T23:00:10.000+00:00,0
D01A2227V,2024-09-13T23:16:10.000+00:00,0
D01A2227V,2024-09-13T23:32:20.000+00:00,0
D01A2227V,2024-09-13T23:48:20.000+00:00,0
D01A2227V,2024-09-14T00:04:30.000+00:00,0
D01A2227V,2024-09-14T00:20:20.000+00:00,0.89
D01A2227V,2024-09-14T00:20:30.000+00:00,0
D01A2227V,2024-09-14T00:20:40.000+00:00,0
D01A2227V,2024-09-14T00:36:40.000+00:00,0
D01A2227V,2024-09-14T00:52:40.000+00:00,0
D01A2227V,2024-09-14T01:08:50.000+00:00,0
D01A2227V,2024-09-14T01:24:50.000+00:00,0
D01A2227V,2024-09-14T01:25:00.000+00:00,0
D01A2227V,2024-09-14T01:25:10.000+00:00,0
D01A2227V,2024-09-14T01:41:10.000+00:00,1
D01A2227V,2024-09-14T12:02:50.000+00:00,0.44
D01A2227V,2024-09-14T12:03:00.000+00:00,0.48
D01A2227V,2024-09-14T12:19:00.000+00:00,0.18
D01A2227V,2024-09-14T12:35:00.000+00:00,0.15
D01A2227V,2024-09-14T12:38:30.000+00:00,28.89
D01A2227V,2024-09-14T12:38:50.000+00:00,38.29
D01A2227V,2024-09-14T12:39:00.000+00:00,40.4
D01A2227V,2024-09-14T12:39:10.000+00:00,38.28
D01A2227V,2024-09-14T12:39:20.000+00:00,32.79
D01A2227V,2024-09-14T12:39:30.000+00:00,24.62
D01A2227V,2024-09-14T12:39:40.000+00:00,12.58
D01A2227V,2024-09-14T12:39:50.000+00:00,21.19
D01A2227V,2024-09-14T12:40:00.000+00:00,22.79
D01A2227V,2024-09-14T12:40:10.000+00:00,22.56
D01A2227V,2024-09-14T12:40:20.000+00:00,11.62
D01A2227V,2024-09-14T12:40:30.000+00:00,16.01
D01A2227V,2024-09-14T12:40:50.000+00:00,14.46
D01A2227V,2024-09-14T12:41:00.000+00:00,7.34
D01A2227V,2024-09-14T12:41:20.000+00:00,14.68
D01A2227V,2024-09-14T12:41:30.000+00:00,14.84
D01A2227V,2024-09-14T12:41:40.000+00:00,9.945
D01A2227V,2024-09-14T12:42:00.000+00:00,3.3
D01A2227V,2024-09-14T12:42:10.000+00:00,0
D01A2227V,2024-09-14T12:42:20.000+00:00,0.71
D01A2227V,2024-09-14T12:42:30.000+00:00,0
D01A2227V,2024-09-14T12:42:40.000+00:00,0.84
D01A2227V,2024-09-14T12:42:50.000+00:00,0
D01A2227V,2024-09-14T12:43:10.000+00:00,0
D01A2227V,2024-09-14T12:43:20.000+00:00,0
D01A2227V,2024-09-14T12:43:30.000+00:00,0
D01A2227V,2024-09-14T12:43:40.000+00:00,0
D01A2227V,2024-09-14T12:43:50.000+00:00,0
D01A2227V,2024-09-14T12:44:00.000+00:00,0
D01A2227V,2024-09-14T12:44:10.000+00:00,0
D01A2227V,2024-09-14T12:44:20.000+00:00,0
D01A2227V,2024-09-14T12:44:30.000+00:00,0
D01A2227V,2024-09-14T12:44:40.000+00:00,0
D01A2227V,2024-09-14T12:45:00.000+00:00,0
D01A2227V,2024-09-14T12:45:10.000+00:00,0.545
D01A2227V,2024-09-14T12:45:30.000+00:00,0
D01A2227V,2024-09-14T12:45:50.000+00:00,0
D01A2227V,2024-09-14T12:46:00.000+00:00,0
D01A2227V,2024-09-14T12:46:20.000+00:00,0
D01A2227V,2024-09-14T12:46:30.000+00:00,0
D01A2227V,2024-09-14T12:46:40.000+00:00,0
D01A2227V,2024-09-14T12:46:50.000+00:00,0
D01A2227V,2024-09-14T12:47:00.000+00:00,0
D01A2227V,2024-09-14T12:47:20.000+00:00,0
D01A2227V,2024-09-14T12:47:30.000+00:00,0.27
D01A2227V,2024-09-14T12:47:40.000+00:00,0.27
D01A2227V,2024-09-14T12:48:00.000+00:00,0.7
D01A2227V,2024-09-14T12:48:10.000+00:00,0.25
D01A2227V,2024-09-14T12:48:30.000+00:00,0.65
D01A2227V,2024-09-14T12:48:40.000+00:00,0
D01A2227V,2024-09-14T12:48:50.000+00:00,0
D01A2227V,2024-09-14T12:49:00.000+00:00,0
D01A2227V,2024-09-14T12:49:20.000+00:00,0.26
D01A2227V,2024-09-14T12:49:30.000+00:00,0
D01A2227V,2024-09-14T12:49:40.000+00:00,0
D01A2227V,2024-09-14T12:50:00.000+00:00,0
D01A2227V,2024-09-14T12:50:10.000+00:00,0
D01A2227V,2024-09-14T12:50:20.000+00:00,0
D01A2227V,2024-09-14T12:50:30.000+00:00,0
D01A2227V,2024-09-14T12:50:40.000+00:00,0
D01A2227V,2024-09-14T12:50:50.000+00:00,0
D01A2227V,2024-09-14T12:51:00.000+00:00,0
D01A2227V,2024-09-14T12:51:10.000+00:00,0
D01A2227V,2024-09-14T12:51:20.000+00:00,0
D01A2227V,2024-09-14T12:51:30.000+00:00,0
D01A2227V,2024-09-14T12:51:40.000+00:00,0
D01A2227V,2024-09-14T12:51:50.000+00:00,0.2
D01A2227V,2024-09-14T12:52:00.000+00:00,0.17
D01A2227V,2024-09-14T12:52:10.000+00:00,0
D01A2227V,2024-09-14T12:52:20.000+00:00,0
D01A2227V,2024-09-14T12:52:30.000+00:00,0.19
D01A2227V,2024-09-14T12:52:40.000+00:00,0
